ANTIGEN,FULL,SEROTYPE,INCOMPLETE,InSilico
A0201,719,92,47,0
A0202,69,12,9,0
A0203,49,6,6,0
A0208,1,0,0,0
A0210,27,5,1,0
A0211,25,5,4,0
A0216,6,1,0,0
A0218,2,0,0,0
A0219,3,2,4,0
A0220,7,1,2,0
A0244,9,1,10,0
A0246,1,1,1,0
A0256,4,2,0,0
A0265,2,2,0,0
A0285,1,0,0,0
A0301,357,75,23,0
A0305,4,10,9,0
A0323,1,4,0,0
A1,355,46,30,0
A11,356,71,30,0
A2301,102,18,13,0
A2304,1,3,1,0
A2402,440,53,32,0
A2403,17,13,3,0
A2404,1,8,0,0
A2405,6,0,0,0
A2408,3,1,6,0
A2410,8,1,0,0
A2414,3,0,0,0
A2423,1,0,0,0
A2424,2,0,2,0
A25,62,21,9,0
A2601,175,32,14,0
A2603,5,4,2,0
A2607,1,0,3,0
A2614,3,3,1,0
A2901,45,8,2,0
A2902,106,21,11,0
A3001,117,30,8,0
A3002,51,23,3,0
A3007,1,0,1,0
A3101,177,29,8,0
A3102,3,0,1,0
A3201,129,32,20,0
A3204,2,0,0,0
A3301,50,6,5,0
A3303,154,24,20,0
A3308,1,1,2,0
A3313,1,3,0,0
A3401,9,1,2,0
A3402,12,8,6,0
A36,13,8,0,0
A43,2,0,0,0
A6601,28,6,5,0
A6602,6,2,2,0
A6801,227,60,17,0
A6810,2,0,3,0
A6813,1,0,0,0
A6836,1,0,0,0
A69,7,10,0,0
A74,29,7,10,0
A80,5,3,0,0
UNA,10,0,0,0

AssignedTotal,4017,775,388,0
CommonTotal,102,6,0,0
IntermediateTotal,76,24,10,0
WellDocumentedTotal,311,93,47,0
RareTotal,3528,652,331,0

TOTAL EXPRESSED ALLELES,5180
Null alleles,481
Q alleles,106
TOTAL ALLELES,5767
